SUM of TEUs,,Type,,,,
Month of Date,Port,Export_Empty,Export_Loaded,Import_Empty,Import_Loaded,Total_TEU
,"Port of Virginia, VA","54,730.00","84,688.00",774.00,"130,777.00","270,969.00"
,"Savannah, GA","110,099.00","113,365.00","3,498.00","232,645.00","459,607.00"
January 2021 Total,,"1,121,291.25","837,338.75","57,120.00","1,945,220.20","3,960,970.20"
February 2021,"Charleston, SC","29,293.00","67,411.00","3,666.00","81,899.00","182,269.00"
,"Houston, TX","17,227.00","79,840.00","9,262.00","92,434.00","198,763.00"
,"Long Beach, CA","265,431.00","119,416.00","13,132.00","373,756.00","771,735.00"
,"Los Angeles, CA","283,952.75","101,208.15","1,270.25","412,884.25","799,315.40"
,"NWSA (Seattle & Tacoma, WA)","47,260.00","60,525.00","5,808.00","103,648.00","217,241.00"
,"Oakland, CA","28,301.00","69,525.00","12,464.00","80,199.00","190,489.00"
,Port of NY & NJ,"193,956.00","94,698.00","2,290.00","334,176.00","625,120.00"
,"Port of Virginia, VA","48,494.00","87,466.00","2,292.00","110,274.00","248,526.00"
,"Savannah, GA","86,410.00","111,045.00","3,672.00","189,677.00","390,804.00"
February 2021 Total,,"1,000,324.75","791,134.15","53,856.25","1,778,947.25","3,624,262.40"
March 2021,"Charleston, SC","46,872.00","79,077.00","8,981.00","113,867.00","248,797.00"
,"Houston, TX","37,869.00","106,745.00","18,524.00","134,259.00","297,397.00"
,"Long Beach, CA","279,016.00","139,710.00","13,488.00","408,172.00","840,386.00"
,"Los Angeles, CA","341,235.00","122,899.00","3,350.25","490,115.00","957,599.25"
,"NWSA (Seattle & Tacoma, WA)","51,242.00","72,875.00","8,435.00","142,931.00","275,483.00"
,"Oakland, CA","28,624.00","94,169.00","21,139.00","97,536.00","241,468.00"
,Port of NY & NJ,"267,542.00","126,699.00","2,376.00","393,159.00","789,776.00"
,"Port of Virginia, VA","51,092.00","94,846.00","3,510.00","130,066.00","279,514.00"
,"Savannah, GA","107,260.00","135,283.00","6,127.00","249,395.00","498,065.00"
March 2021 Total,,"1,210,752.00","972,303.00","85,930.25","2,159,500.00","4,428,485.25"
April 2021,"Charleston, SC","42,252.00","73,333.00","4,497.00","105,054.00","225,136.00"
,"Houston, TX","40,809.00","91,766.00","14,431.00","128,834.00","275,840.00"
,"Long Beach, CA","243,392.00","124,069.00","11,577.00","367,151.00","746,189.00"
,"Los Angeles, CA","337,836.25","114,448.50","4,554.75","490,126.85","946,966.35"
,"NWSA (Seattle & Tacoma, WA)","55,216.00","59,729.00","5,367.00","121,294.00","241,606.00"
,"Oakland, CA","25,659.00","80,290.00","14,003.00","101,886.00","221,838.00"
,Port of NY & NJ,"229,295.00","121,671.00","2,568.00","359,265.00","712,799.00"
,"Port of Virginia, VA","50,909.00","95,618.00","1,924.00","137,954.00","286,405.00"
,"Savannah, GA","96,966.00","128,205.00","4,984.00","236,479.00","466,634.00"
April 2021 Total,,"1,122,334.25","889,129.50","63,905.75","2,048,043.85","4,123,413.35"
May 2021,"Charleston, SC","44,445.00","73,281.00","6,095.00","107,050.00","230,871.00"
,"Houston, TX","51,202.00","95,439.00","8,633.00","132,853.00","288,127.00"
,"Long Beach, CA","314,070.00","135,345.00","13,065.00","444,736.00","907,216.00"
,"Los Angeles, CA","361,358.75","109,886.00","5,088.90","535,714.20","1,012,047.85"
,"NWSA (Seattle & Tacoma, WA)","63,425.00","63,558.00","9,449.00","134,246.00","270,678.00"
,"Oakland, CA","40,113.00","74,726.00","19,009.00","92,558.00","226,406.00"
,Port of NY & NJ,"263,257.00","134,458.00","2,291.00","396,417.00","796,423.00"
,"Port of Virginia, VA","67,970.00","99,717.00","2,338.00","144,916.00","314,941.00"
,"Savannah, GA","102,111.00","137,812.00","3,011.00","235,687.00","478,621.00"
May 2021 Total,,"1,307,951.75","924,222.00","68,979.90","2,224,177.20","4,525,330.85"
June 2021,"Charleston, SC","48,037.00","68,990.00","9,064.00","105,668.00","231,759.00"
,"Houston, TX","56,337.00","84,614.00","12,188.00","139,448.00","292,587.00"
,"Long Beach, CA","237,615.00","116,947.00","12,634.00","357,101.00","724,297.00"
,"Los Angeles, CA","310,810.00","96,066.75","1,790.35","467,763.25","876,430.35"
,"NWSA (Seattle & Tacoma, WA)","72,076.00","56,976.00","7,639.00","133,904.00","270,595.00"
,"Oakland, CA","40,229.00","71,192.00","16,002.00","95,060.00","222,483.00"
